GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Backend,com.example.Backend.Messages,Messages,0,21,0,0,0,8,0,4,0,4
Backend,com.example.Backend.Messages,MessagesController,0,35,0,0,0,7,0,5,0,5
Backend,com.example.Backend,BackendApplication,5,3,0,0,2,1,1,1,1,1
Backend,com.example.Backend.User,AdminController,2,45,2,2,1,9,2,5,0,5
Backend,com.example.Backend.User,CoachController,4,204,10,10,2,45,10,11,0,11
Backend,com.example.Backend.User,Sportsman,0,59,0,0,0,17,0,7,0,7
Backend,com.example.Backend.User,Coach,16,292,4,10,8,66,7,21,3,18
Backend,com.example.Backend.User,Admin,0,16,0,0,0,3,0,1,0,1
Backend,com.example.Backend.User,SportsmanController,2,163,6,12,1,36,6,12,0,9
Backend,com.example.Backend.User,User,61,112,0,0,3,45,2,23,2,23
Backend,com.example.Backend.Sports,Sports,28,33,0,0,1,14,1,7,1,7
Backend,com.example.Backend.Sports,SportsController,0,60,1,1,0,13,1,6,0,6
